variant,class_id,class_name,instances,precision,recall,f1,map50,map75,map50_95
gcd-assigner,0,HM,2,1.0,0.6887774042582876,0.8157112980331462,0.995,0.5574999999999999,0.7142499999999999
gcd-assigner,1,LQS,5,0.9526557424950646,1.0,0.9757539147968602,0.995,0.995,0.8255000000000001
gcd-assigner,2,QHS,97,0.7067922799151825,0.7835051546391752,0.7431743244439191,0.785603288866555,0.678961456870054,0.5442676513227418
gcd-assigner,3,MS,298,0.8735038457834354,0.7878641186556873,0.82847671597286,0.8478768799440477,0.64251530788518,0.5486862302446345
gcd-assigner,4,A1_SU-35,209,0.9856715407545851,0.9952153110047847,0.9904204352806742,0.9931509872241578,0.9741737849855572,0.8374612319016317
gcd-assigner,5,A2_C-130,192,0.9804896639427032,0.9739583333333334,0.9772130855107342,0.9935017542111556,0.9935017542111556,0.801365126160605
gcd-assigner,6,A3_C-17,153,0.9941362189204846,0.9738562091503268,0.9838917220692753,0.9946748726655349,0.9928291477052562,0.8240013053636925
gcd-assigner,7,A4_C-5,76,0.9677807166988733,0.8947368421052632,0.9298264687131229,0.9845285767492453,0.9838762784467467,0.8407320459702706
gcd-assigner,8,A5_F-16,164,1.0,0.868558041800472,0.929655940431545,0.8997756703342084,0.8478426560250019,0.6580129707843205
gcd-assigner,9,A6_TU-160,50,0.9925213939863213,1.0,0.9962466621255611,0.995,0.995,0.8653401595633511
gcd-assigner,10,A7_E-3,83,0.9952423133359581,0.963855421686747,0.9792974413191344,0.9822135815991236,0.9822135815991236,0.8580508313004891
gcd-assigner,11,A8_B-52,110,0.9973142605465383,1.0,0.998655324549314,0.995,0.995,0.8493419192864436
gcd-assigner,12,A9_P-3C,133,0.9879605744942211,1.0,0.9939438308484352,0.9948507462686567,0.9948507462686567,0.8058677966169728
gcd-assigner,13,A10_B-1B,111,0.9909546903321588,0.9869979185194472,0.9889723467872055,0.9949099099099098,0.9925359844703028,0.8231295285118081
gcd-assigner,14,A11_E-8,65,0.9150776888992481,0.9692307692307692,0.9413760772457724,0.9604809449278601,0.9604809449278601,0.829716289366571
gcd-assigner,15,A12_TU-22,88,0.9967868884771924,1.0,0.9983908590639545,0.995,0.9676066217732882,0.8521098744764956
gcd-assigner,16,A13_F-15,222,0.9639687939190561,0.9144144144144144,0.9385379472033437,0.9301883062581463,0.9138067770355172,0.7220232812040874
gcd-assigner,17,A14_KC-135,211,0.9717256050251876,0.9620853080568721,0.9668814274787755,0.969393248060577,0.969393248060577,0.8004080803463639
gcd-assigner,18,A15_F-22,73,0.8338276321102108,1.0,0.9093849580079824,0.9785266214177982,0.9663207202111614,0.7646605489529859
gcd-assigner,19,A16_FA-18,316,0.9968130116697635,0.9897987750876698,0.9932935106084246,0.9949363057324841,0.9942578291511343,0.7970555908378714
gcd-assigner,20,A17_TU-95,165,0.9938673053275503,0.9821867031277258,0.987992481773503,0.9947575757575756,0.9892978296357751,0.8644843963453109
gcd-assigner,21,A18_KC-10,38,1.0,0.8905683505694855,0.9421170626295785,0.9639048708728343,0.9639048708728343,0.8111433372368897
gcd-assigner,22,A19_SU-34,153,0.9569647544221946,0.9477124183006536,0.9523161138592773,0.9872223770615111,0.917289048535755,0.7522617079275927
gcd-assigner,23,A20_SU-24,134,0.8929219589811817,0.9334723732778734,0.9127470070180503,0.9772260527724833,0.9534499676414228,0.819987100149379
gcd-assigner,24,FSC,77,0.8146474374083152,0.6279243546935488,0.7092013988323549,0.7364769227241641,0.2498284066711317,0.31982758005013817
gcd-both,0,HM,2,0.7942287654452291,1.0,0.8853149394783504,0.995,0.995,0.9949999999999999
gcd-both,1,LQS,5,0.7844379587562014,1.0,0.8791989151620319,0.9616666666666666,0.9616666666666666,0.8049999999999999
gcd-both,2,QHS,97,0.6507716630210745,0.8144329896907216,0.7234619548051746,0.7636096534662193,0.6030313995267149,0.5197470289251328
gcd-both,3,MS,298,0.8640131605016937,0.7888773123720089,0.8247375020869908,0.8489890153237839,0.6639894469238934,0.5749039276479955
gcd-both,4,A1_SU-35,209,0.9886752282273922,0.9904306220095693,0.98955214663376,0.991730769230769,0.9766467854245946,0.8414119498250848
gcd-both,5,A2_C-130,192,1.0,0.9939330952231298,0.9969573177799171,0.995,0.9934985135099581,0.8082104804459183
gcd-both,6,A3_C-17,153,0.9993226875075206,1.0,0.9996612290268543,0.995,0.995,0.8363821278920215
gcd-both,7,A4_C-5,76,0.9792773568564157,0.9473684210526315,0.9630586524778956,0.9882542026721496,0.9786754970063034,0.8565531081590253
gcd-both,8,A5_F-16,164,0.9975074928891067,0.8719512195121951,0.930513061483971,0.9311585752644425,0.8478841477736881,0.6591943425450753
gcd-both,9,A6_TU-160,50,0.967077720797223,1.0,0.9832633561680348,0.995,0.995,0.8495455102524148
gcd-both,10,A7_E-3,83,1.0,0.962367375118118,0.9808228442038704,0.9941801834274501,0.9941801834274501,0.856994214939206
gcd-both,11,A8_B-52,110,0.9799357994435874,1.0,0.9898662367931065,0.995,0.995,0.845047556679584
gcd-both,12,A9_P-3C,133,0.9872576825078361,1.0,0.9935879893159685,0.995,0.995,0.8057949356005982
gcd-both,13,A10_B-1B,111,1.0,0.9997616684803418,0.9998808200380002,0.995,0.9942792792792792,0.8197692696571235
gcd-both,14,A11_E-8,65,0.914545829576502,0.9384615384615385,0.9263493508141611,0.9255668935093304,0.9026725130185018,0.78479450253674
gcd-both,15,A12_TU-22,88,1.0,0.9805963362427287,0.9902031204429668,0.9947777777777779,0.984551724137931,0.8506644429835024
gcd-both,16,A13_F-15,222,0.8884654851885219,0.9234234234234234,0.905607221311216,0.9612222548927988,0.9512294873377887,0.7421909412013987
gcd-both,17,A14_KC-135,211,0.9708233751076495,0.976303317535545,0.973555635018289,0.9744178478167069,0.9742305614096889,0.7934996197272618
gcd-both,18,A15_F-22,73,0.9599689999141399,0.9855157512487509,0.9725746445048172,0.9843077502535131,0.9291973266518685,0.7774930820520126
gcd-both,19,A16_FA-18,316,0.9857342769255341,0.9873417721518988,0.9865373697132463,0.9945538370530763,0.9932684846025698,0.8036762561332174
gcd-both,20,A17_TU-95,165,0.9821225623042579,0.9988497131480029,0.9904155164512098,0.9948214285714286,0.9782403085746596,0.851902522828658
gcd-both,21,A18_KC-10,38,0.9733935965133533,0.9629314920467054,0.9681342805265621,0.9862820512820516,0.9862820512820516,0.812704315226302
gcd-both,22,A19_SU-34,153,0.9806344247620133,0.9869281045751634,0.9837711988117224,0.9907195103487016,0.9408754967906363,0.7736031260984226
gcd-both,23,A20_SU-24,134,0.9212357695967082,0.9477611940298507,0.9343102530052473,0.9848621197017697,0.9569477459051802,0.7703937413824284
gcd-both,24,FSC,77,0.8172847131893066,0.6971335709763261,0.75244285752127,0.776435110321947,0.30552051027148963,0.32686936400388433
